,City,Country,datetime,lat,long,Max Temp (F),Cloudiness,Humidity,Wind Speed
302,Youghal,IE,1644551482,51.95,-7.8506,35.0,82,100,2.23
303,Bonthe,SL,1644551483,7.5264,-12.505,75.9,2,93,1.15
304,Tanout,NE,1644551483,14.9709,8.8879,56.9,0,16,5.43
305,Amurzet,RU,1644551484,47.6967,131.0981,12.0,100,88,2.3
306,Coos Bay,US,1644551484,43.3665,-124.2179,50.0,100,98,6.69
307,Forsytheganj,BY,1644551485,52.6333,29.7333,36.4,100,97,5.51
308,Mar del Plata,AR,1644551485,-38.0023,-57.5575,70.9,0,90,5.66
309,Santa Cruz de la Sierra,BO,1644551479,-17.8,-63.1667,76.5,42,78,1.54
310,Orotukan,RU,1644551486,62.2667,151.7,-17.6,99,88,0.52
311,Arrondissement de Saint-Malo,FR,1644551487,48.5,-1.8333,39.1,6,84,2.58
312,Vyazemskiy,RU,1644551487,47.5378,134.7525,15.5,100,88,1.71
313,Coihueco,CL,1644551488,-36.6167,-71.8333,61.5,42,45,5.14
314,Fojnica,BA,1644551489,43.9625,17.8983,23.9,0,79,1.84
315,San Fernando,PH,1644551490,15.0286,120.6898,86.1,85,50,6.56
316,Burnie,AU,1644551490,-41.0667,145.9167,76.9,0,33,4.29
317,Khandagayty,RU,1644551491,50.7333,92.05,-12.8,71,98,1.23
318,Cockburn Town,TC,1644551235,21.4612,-71.1419,78.0,0,78,8.26
319,Nísia Floresta,BR,1644551492,-6.0911,-35.2086,81.0,12,86,2.07
320,Colares,PT,1644551493,38.7992,-9.4469,59.3,84,70,6.71
321,Nizhniy Odes,RU,1644551493,63.6445,54.856,19.0,100,93,5.21
322,Tornio,FI,1644551494,65.8481,24.1466,12.2,100,82,3.26
323,Muros,ES,1644551494,42.7762,-9.0603,50.8,24,90,3.41
324,Basco,PH,1644551495,20.4487,121.9702,75.2,24,81,7.3
325,Bathsheba,BB,1644551496,13.2167,-59.5167,79.4,75,69,7.72
326,Henderson,US,1644551456,36.0397,-114.9819,67.1,0,27,2.57
327,Fortuna,US,1644551496,40.5982,-124.1573,56.3,0,77,0.0
328,Walla Walla,US,1644551323,46.0646,-118.343,51.9,0,72,3.6
329,Sunrise Manor,US,1644551498,36.2111,-115.0731,69.3,0,24,4.12
330,Palmer,US,1644551498,42.1584,-72.3287,39.1,20,80,0.0
331,Kingsport,US,1644551244,36.5484,-82.5618,45.2,0,67,0.45
332,Kamaishi,JP,1644551499,39.2667,141.8833,36.6,100,61,5.8
333,Chirongui,YT,1644551499,-12.9319,45.1483,78.7,98,79,3.51
334,Tete,MZ,1644551499,-16.1564,33.5867,75.3,20,83,1.54
335,Mocuba,MZ,1644551501,-16.8392,36.9856,70.9,99,96,0.69
336,Tamandaré,BR,1644551501,-8.7597,-35.1047,78.2,100,75,2.68
337,Batemans Bay,AU,1644551502,-35.7167,150.1833,78.2,100,75,4.35
338,Almonte,ES,1644551502,37.2647,-6.5167,53.3,99,62,1.46
339,Praia da Vitória,PT,1644551502,38.7333,-27.0667,56.8,75,94,2.49
340,Mercedes,AR,1644551503,-34.6515,-59.4307,70.5,0,73,3.54
341,Tuatapere,NZ,1644551504,-46.1333,167.6833,63.8,76,74,3.62
342,City of San Pedro,PH,1644551504,14.35,121.0167,87.3,98,60,6.87
343,Ratnagiri,IN,1644551505,16.9833,73.3,82.7,21,38,5.1
344,Montepuez,MZ,1644551505,-13.1256,38.9997,69.3,100,97,0.95
345,Port Blair,IN,1644551224,11.6667,92.75,82.4,40,78,4.63
